id;name;map;description;imageId
1;Souvenir Shop;https://www.google.com/maps/d/u/0/embed?mid=1qmgt64eJ4bsRPrK5boiyBN08Z694o60&ehbc=2E312F;Venice is known to be unforgettable, but having something to bring back memories of your visit is always the best choice. Whether it's a gift or something for yourself, the souvenir stores scattered around the city are perfect for buying wonderful items, from carnival masks to miniatures of the world-famous gondolas you're sure to find what you're looking for.;1
2;Public Transportation;https://www.google.com/maps/d/u/0/embed?mid=1doVe7ErTyQ_9tycpzp6UZOlHRhto_Go&ehbc=2E312F;Venice is not like any other city, and its public transportation is also not common. In the more central areas of the city there are the usual buses, but to get from one island to another quickly, the city offers frequent boat transportation as well as real water taxi for faster travel.;2
3;Pharmacy;https://www.google.com/maps/d/u/0/embed?mid=1uq1678k0HX4lkfBG8tcfMfMglMgUvYU&ehbc=2E312F;Venice has no shortage of efficient and well-distributed health services with pharmacies scattered throughout the city, some of them historic and with a history to explore.;3
4;Beach;https://www.google.com/maps/d/u/0/embed?mid=1OT26rR32elGMMcCXHXarBHuLKHIm-jA&ehbc=2E312F;Venice has a beautiful beach that protects the lagoon in which to spend the hottest days, cooling off in the Adriatic Sea or sunbathing under the Italian sky. The beach is a key element in the defense of the lagoon so pay attention to how you treat this place.;4
5;Bar;https://www.google.com/maps/d/u/0/embed?mid=1XkqLBRk7D1ZkRo5vzAs-puui1ZUPzCw&ehbc=2E312F;Venice is also a place of leisure, and what better place than a bar to spend time with friends. From old and traditional to new and modern, bars in Venice can satisfy anyone's palate by making you spend moments in complete serenity.;5
6;Port;https://www.google.com/maps/d/u/0/embed?mid=1Bm65b_g0Dj-eAi9yJK41hiBbtZyJ_nI&ehbc=2E312F;Venice obviously has several ports, being a city on water it could not be otherwise. From large cruise ships to small private vessels, Venice's ports can cater to any need to the fullest.;6
7;Bank;https://www.google.com/maps/d/u/0/embed?mid=1X9sMgteK2dSvLPcKcX-MY4a3DPIH0TA&ehbc=2E312F;Venice has branches and pickup points all over the city where you can withdraw the money you need to experience the city to the fullest and support the artisans who are essential to keeping alive the traditional spirit of Venice that makes you feel at home.;7
8;Hospital;https://www.google.com/maps/d/u/0/embed?mid=1VTrWWRaXiCTQpyu9tmDDZPfs2O4eLA0&ehbc=2E312F;Venice has an efficient, state-of-the-art public health service. The rescue service takes full advantage of the territorial particularities of the city so that it is always efficient in any situation, with personnel specifically trained to operate in the lagoon. For any emergency you can contact the unique number 112.;8
9;Police;https://www.google.com/maps/d/u/0/embed?mid=17ObPXI55zD06F_se67G3-EzTyWz247s&ehbc=2E312F;Venice has among its priorities the safety of every citizen and visitor, with patrols and security systems scattered throughout the city so that there is always a safe climate and making it possible to visit the city in complete peace and security. For any emergency you can contact the unique number 112.;9
10;SuperMarket;https://www.google.com/maps/d/u/0/embed?mid=1CiTljZl9V45W7QgrhZsp211WC8wMllY&ehbc=2E312F;Venice has a wide range of well-stocked stores where you can find all the items you may need during your stay in Venice. From personal goods to great Italian food the many SuperMarkets will have what you need.;10
