id;landline_phone;mobile_phone;email
1;041 156462;3345666212;basilicadisanmarco.venezia@turismo.it
2;041 168916;3369474763;piazzasanmarco.venezia@turismo.it
3;041 620742;3378984976;palazzoducale.venezia@turismo.it
4;041 112943;3339328239;canalgrande.venezia@turismo.it
5;041 930963;3326019245;pontedirialto.venezia@turismo.it 
6;041 473471;3330021404;torredellorologio.venezia@turismo.it 
7;041 781985;3384319741;teatrolafenice.venezia@turismo.it 
8;041 615928;3325066763;cadoro.venezia@turismo.it 
9;041 753227;3349365112;muranoeburano.venezia@turismo.it 
10;041 949829;3374826099;peggyguggenheimcollection.venezia@turismo.it 
11;041 747597;3341980143;galleriedellaccademia.venezia@turismo.it 
12;041 490271;3338852444;santamariadeimiracoli.venezia@turismo.it 
13;041 531850;3325708204;carezzonico.venezia@turismo.it 
14;041 835498;3350589570;isoladitorcello.venezia@turismo.it
15;041 189565;3394003566;lidodivenezia.venezia@turismo.it
16;041 518022;3300394033;museostoriconavale.venezia@turismo.it
17;041 758964;3339088732;labiennale.venezia@turismo.it
18;041 842001;3341859065;libreriaacquaalta.venezia@turismo.it
19;041 910577;3369135312;ilpontedeisospiri.venezia@turismo.it
20;041 262863;3398751519;mercatidirialto.venezia@turismo.it
21;041 574947;3394253333;suezo@gmail.it
22;041 646577;3316681235;svolodelleon@turismo.it
23;041 477139;3307984491;regatavenice@outlook.it
24;041 465446;3389132766;concerts.theater@gmail.it
25;041 216837;3383766129;gallery.events@outlook.com
26;041 553290;3351997233;burano.eventi@gmail.it
27;041 825259;3336710456;arran360.events@outlook.it
28;041 220572;3315240988;boatshow.venice@gmail.it
29;041 943430;3319969674;labiennale.events@gmail.com
30;041 735173;3382179945;meetfrancophoneculture@outlook.com
31;041 524613;NULL;NULL
32;041 520287;NULL;NULL
33;041 472933;NULL;NULL
34;041 041;NULL;NULL
35;041 041;NULL;NULL
36;041 041;NULL;NULL
37;041 041;NULL;NULL
38;041 041;NULL;NULL
39;041 836284;NULL;NULL
40;041 185402;NULL;NULL
41;041 384921;NULL;NULL
42;041 520237;NULL;NULL
43;041 472939;NULL;NULL
44;041 246139;NULL;NULL
45;041 202873;NULL;NULL
46;041 479339;NULL;NULL
47;041 546139;NULL;NULL
48;041 502873;NULL;NULL
49;041 472933;NULL;NULL
50;041 526139;NULL;NULL
51;041 524139;NULL;NULL
52;041 522873;NULL;NULL
53;041 429339;NULL;NULL
54;041 524639;NULL;NULL
55;041 520873;NULL;NULL
56;041 729339;NULL;NULL
57;041 524619;NULL;NULL
58;041 520273;NULL;NULL
59;041 472339;NULL;NULL
60;041 524613;NULL;NULL
61;041 495395;NULL;NULL
62;041 520283;NULL;NULL
63;041 472939;NULL;NULL
64;041 564619;NULL;NULL
