id;title;map;description;imageId
1;Murano, Burano and Torcello;https://www.google.com/maps/d/u/0/embed?mid=1Vc2DgAv8mATReUVIaIK_OvqgrZ6KhZw&ehbc=2E312F;Visit Torcello, Murano, and Burano three islands in the Venetian Lagoon on this tour from Venice by motorboat.\n\nWith a guide, watch glass being blown at a Murano glass factory, see historical cathedrals on Torcello, and admire exquisite handmade lace on Burano. This is a great way to see more than just the central sights of Venice and enjoy a cruise on the water.;39
2;The Art Of Venice;https://www.google.com/maps/d/u/0/embed?mid=1PKziYA6s95wnhdVP8yTHq866vP0y2Bg&ehbc=2E312F;The itinerary allows you to learn about the greatest artists who worked in the city of Venice, let us guide you on a journey through art and culture.\n\nStarting from the Gallerie dell'Accademia to the Biennale you will discover works and stories that will remain in your heart forever.;27
3;Bridges Lover;https://www.google.com/maps/d/u/0/embed?mid=1LpduhKl4qSC2YraEogYaZxdckTf6Ffc&ehbc=2E312F;Venice, the floating city, one cannot visit Venice without getting lost among its bridges and canals, and discovering all the glimpses that this city can offer.\n\nAnd that is exactly what this itinerary seeks to show you by taking you around the most famous and important bridges and canals that connect the city;56
4;Must Sees of Venice;https://www.google.com/maps/d/u/0/embed?mid=1CwA73mqzqvsjvGD-rA58TTOS8AwbK3c&ehbc=2E312F;One cannot pass through Venice without visiting these places.\n\nThis itinerary will take you to the city's landmarks, those who made Venice an unforgettable place, from St. Mark's Basilica to the Doge's Palace. This journey through Venetian culture will make even the shortest of stays in Venice an experience to remember for life;11
5;5 Churches to See (Soon);NULL;NULL;62
6;Venice in a Weekend (Soon);NULL;NULL;71
7;A Day on the Beach (Soon);NULL;NULL;33
8;A Tour on the Water (Soon);NULL;NULL;24
9;Inside the ancient History (Soon);NULL;NULL;46
10;Venice in Love (Soon);NULL;NULL;30
11;All the Palaces (Soon);NULL;NULL;18
12;Luxury, that's all (Soon);NULL;NULL;65
