id;title;description;opening_hours;closing_hours;ticket;address;contactId
1;Basilica di San Marco;The Patriarchal Cathedral Basilica of Saint Mark, commonly known as St Mark's Basilica, is the cathedral church of the Roman Catholic Patriarchate of Venice.\nIt is dedicated to and holds the relics of Saint Mark the Evangelist, the patron saint of the city.\n\nMiddle-Byzantine, Romanesque, and Islamic influences are evident, and Gothic elements were later incorporated. To convey the republic's wealth and power, the original brick façades and interior walls were embellished over time with precious stones and rare marbles, primarily in the thirteenth century. Many of the columns, reliefs, and sculptures were spoils stripped from the churches, palaces, and public monuments of Constantinople as a result of the Venetian participation in the Fourth Crusade.\n\nThe interior of the domes, the vaults, and the upper walls were slowly covered with gold-ground mosaics depicting saints, prophets, and biblical scenes. Many of these mosaics were later retouched or remade as artistic tastes changed and damaged mosaics had to be replaced, such that the mosaics represent eight hundred years of artistic styles.;09:30:00;17:00:00;3.5;P.za San Marco, 328, 30100 Venezia VE;1
2;Piazza San Marco;Piazza San Marco often known in English as St Mark's Square, is the principal public square of Venice, Italy, where it is generally known just as la Piazza ("the Square").\n\nAll other urban spaces in the city (except the Piazzetta and the Piazzale Roma) are called campi ("fields"). The Piazzetta ("little Piazza/Square") is an extension of the Piazza towards San Marco basin in its south east corner. The two spaces together form the social, religious and political centre of Venice and are commonly considered together;00:00:00;00:00:00;0;P.za San Marco, Venezia;2
3;Palazzo Ducale;The Doge's Palace (Italian: Palazzo Ducale, Venetian: Palaso Dogal) is a palace built in Venetian Gothic style, and one of the main landmarks of the city of Venice in northern Italy. The palace was the residence of the Doge of Venice, the supreme authority of the former Republic. It was built in 1340 and extended and modified in the following centuries. It became a museum in 1923 and is one of the 11 museums run by the Fondazione Musei Civici di Venezia.\n\nThe palace was built out of fortresses, one façade to the Piazzetta, the other overlooking the St. Mark's Basin. Although only few traces remain of that palace, some Byzantine-Venetian architecture characteristics can still be seen at the ground floor, with the wall base in Istrian stone and some herring-bone pattern brick paving.\n\nBy the end of the 19th century, the structure was showing clear signs of decay, and the Italian government set aside significant funds for its restoration and all public offices were moved elsewhere, with the exception of the State Office for the protection of historical Monuments, which is still housed at the palace's loggia floor.;09:00:00;19:00:00;25;Doge's palace, 30124 Venezia VE;3
4;Canal Grande;The Grand Canal (Italian: Canal Grande, Venetian: Canal Grando) is a channel in Venice, Italy. It forms one of the major water-traffic corridors in the city.\n\nOne end of the canal leads into the lagoon near the Santa Lucia railway station and the other end leads into the basin at San Marco, in between, it makes a large reverse-S shape through the central districts (sestieri) of Venice.It is 3.8 km (2.4 mi) long, and 30 to 90 m (98 to 295 ft) wide, with an average depth of 5 metres (16 feet).\n\nThe banks of the Grand Canal are lined with more than 170 buildings, most of which date from the 13th to the 18th century, and demonstrate the welfare and art created by the Republic of Venice. The noble Venetian families faced huge expenses to show off their richness in suitable palazzos, this contest reveals the citizens pride and the deep bond with the lagoon.;00:00:00;00:00:00;0;NULL;4
5;Ponte di Rialto;The Rialto Bridge (Italian: Ponte di Rialto, Venetian: Ponte de Rialto) is the oldest of the four bridges spanning the Grand Canal in Venice, Italy. Connecting the sestieri (districts) of San Marco and San Polo, it has been rebuilt several times since its first construction as a pontoon bridge in 1173, and is now a significant tourist attraction in the city.\n\nThe development and importance of the Rialto market on the eastern bank increased traffic on the floating bridge.\n\nThe present stone bridge, a single span designed by Antonio da Ponte, began to be constructed in 1588 and was completed in 1591. It is similar to the wooden bridge it succeeded. Two ramps lead up to a central portico. On either side of the portico, the covered ramps carry rows of shops. The engineering of the bridge was considered so audacious that architect Vincenzo Scamozzi predicted future ruin. The bridge has defied its critics to become one of the architectural icons, and top tourist attractions, in Venice.;00:00:00;00:00:00;0;Ponte di Rialto, Venezia VE;5
6;Torre dell'Orologio;The Clock Tower in Venice is an early Renaissance building on the north side of the Piazza San Marco, at the entrance to the Merceria.\n\nIt comprises a tower, which contains the clock, and lower buildings on each side. It adjoins the eastern end of the Procuratie Vecchie. Both the tower and the clock date from the last decade of the 15th century, though the mechanism of the clock has subsequently been much altered. It was placed where the clock would be visible from the waters of the lagoon and give notice to everyone of the wealth and glory of Venice.\n\nOn a terrace at the top of the tower are two great bronze figures, hinged at the waist, which strike the hours on a bell. One is old and the other young, to show the passing of time and, although said to represent shepherds (they are wearing sheepskins) or giants (they are huge figures of great mass, necessary so that their form can be recognized at a distance) they are known as "the Moors" because of the dark patina acquired by the bronze. The bell is also original and is signed by Simeone Campanato, who cast it at the Arsenal in 1497.;11:00:00;14:00:00;12;NULL;6
7;Teatro la Fenice;Teatro La Fenice ("The Phoenix") is an opera house in Venice, Italy. It is one of the most famous and renowned landmarks in the history of Italian theatre and in the history of opera as a whole.\n\nIts name reflects its role in permitting an opera company to "rise from the ashes" despite losing the use of three theatres to fire, the first in 1774 after the city's leading house was destroyed and rebuilt but not opened until 1792, the second fire came in 1836, but rebuilding was completed within a year. However, the third fire was the result of arson. It destroyed the house in 1996 leaving only the exterior walls, but it was rebuilt and re-opened in November 2004. In order to celebrate this event the tradition of the Venice New Year's Concert started.\n\nLa Fenice immediately made its mark as one of the leading opera houses, noted in Italy and Europe both for the high artistic quality of its work and the splendour of its building. But, almost as if the name were the bearer of bad omens, on the night of 13 December 1836 the opera house was devastated by a first fire caused by a recently installed Austrian heater. By the evening of 26 December of the same year, the new opera house, reborn in the new artistic style of the age, was opened to the public.;09:30:00;23:00:00;0;Campo S. Fantin, 1965, 30124 Venezia VE;7
8;Ca' d'Oro;The Ca' d'Oro or Palazzo Santa Sofia is a palace on the Grand Canal in Venice, northern Italy. One of the older palaces in the city, its name means "golden house" due to the gilt and polychrome external decorations which once adorned its walls. Since 1927, it has been used as a museum, as the Galleria Giorgio Franchetti.\n\nIt has long been regarded as the best surviving palazzo in Venetian Gothic architecture, retaining all the most characteristic features, despite some losses. On the facade, the loggia-like window group of closely spaced small columns, with heavy tracery with quatrefoil openings above, uses the formula from the Doge's Palace that had become iconic. There are also the byzantine-inspired decoration along the roofline, and patterning in fancy coloured stone to the flat wall surfaces. The smaller windows show a variety of forms with an ogee arch, capped with a relief ornament, and the edges and zone boundaries are marked with ropework reliefs.;08:15:00;18:00:00;11;Calle Ca' d'Oro, 3934, 30121 Venezia VE;8
9;Murano e Burano;The island was probably settled by the Romans, and in the 6th century was occupied by people from Altino, who named it for one of the gates of their former city. Two stories are attributed to how the city obtained its name. One is that it was initially founded by the Buriana family, and another is that the first settlers of Burano came from the small island of Buranello, about 8 kilometres (5 miles) to the south.\n\nIn 1291, all the glassmakers in Venice were required to move to Murano. In the following century, exports began, and the island became famous, initially for glass beads and mirrors. Aventurine glass was invented on the island, and for a while Murano was the main producer of glass in Europe. The island later became known for chandeliers. Although decline set in during the eighteenth century, glassmaking is still the island's main industry.\nIn the fifteenth century, the island became popular as a resort for Venetians, and palaces were built, but this later declined. The countryside of the island was known for its orchards and vegetable gardens until the nineteenth century, when more housing was built.;00:00:00;00:00:00;0;Murano, Venezia;9
10;Peggy Guggenheim Collection;The Peggy Guggenheim Collection is a modern art museum on the Grand Canal in the Dorsoduro sestiere of Venice, Italy. It is one of the most visited attractions in Venice. The collection is housed in the Palazzo Venier dei Leoni, an 18th-century palace, which was the home of the American heiress Peggy Guggenheim for three decades. She began displaying her private collection of modern artworks to the public seasonally in 1951.\n\nThe collection includes works of prominent Italian futurists and American modernists working in such genres as Cubism, Surrealism and abstract expressionism. It also includes sculptural works. In 2017, Karole Vail, a granddaughter of Peggy Guggenheim, was appointed Director of the collection, succeeding Philip Rylands, who led the museum for 37 years.\n\nThe museum houses an impressive selection of modern art. Its picturesque setting and well-respected collection attract some 400,000 visitors per year, making it the most-visited site in Venice after the Doge's Palace. Works on display include those of prominent Italian futurists and American modernists. Pieces in the collection embrace Cubism, Surrealism and abstract expressionism.;10:00:00;18:00:00;14;Dorsoduro, 701-704, 30123 Venezia VE;10
